"ABA","ABA 脱落酸" 
"genetic typing","genetic typing 遗传分型[例如根据人白细胞抗原（HLA）基因的限制性片段长度多态性对个体进行分型]"
"genistein","genistein ""染料木黄酮，4,5,7-三羟异黄酮"""
"genital cell","genital cell 生殖细胞"
"genocopy","genocopy 拟基因型"
"genome","genome 基因组，染色体组"
"genome","chromosome complement
genome
chromosome complement 染色体组"
"genome","genome 基因组"
"genomic imprinting","genomic imprinting 基因组印记[配子发生过程中基因的选择性差异表达]"
"genomic library","genomic library 基因组文库"
"genomic walking","genomic walking 基因组步查，基因组步移"
"genonema","genonema 基因线，基因带"
"genonema","genophoer
genonema
genophoer 基因线
又称“基因带”。"
"genophore","genophore 基因线，基因带"
"genotoxicity","genotoxicity 基因毒性[DNA损伤]"
"genotype","genotype 基因型"
"gentamycin","gentamycin 庆大霉素，艮他霉素"
"gentianose","gentianose 龙胆三糖"
"gentiobiose","gentiobiose 龙胆二糖"
"geometric mean","geometric mean 几何均数"
"geosmin","geosmin [放线菌]土臭味素"
"geotropism","geotropism 向地性"
"geraniol","geraniol 牻牛儿糖"
"geranyl","geranyl 牻牛儿基，香叶基"
"geranylpyrophosphate","geranylpyrophosphate 牻牛儿焦磷酸"
"germ","germ 胚芽；胚；微生物，（细）菌"
"germ band","germ band 胚带"
"germ band","germ band 胚带"
"germ cell","germ cell 生殖细胞"
"germ cell","germ cell 生殖细胞"
"germicide","germicide 杀菌剂"
"germinal center","germinal center 生发中心"
"germinal disc","germinal disc 胚盘"
"germinal disc","germinal disc 胚盘"
"germinal membrane","germinal membrane 胚膜"
"germinal spot","germinal spot 胚斑"
"germinal vesicle","germinal vesicle 生发泡"
"germinal vesicle","germinal vesicle 生发泡[初级卵母细胞的细胞核]"
"germ layer","germ layer 胚层"
"germ layer","germ layer 胚层"
"germ line","germ line 种系"
"germ line","germ line 种系"
"germ nucleus","germ nucleus 生殖核"
"germ plasm","germ plasm 种质
魏斯曼最初使用的经生殖细胞传递的遗传物质。germ plasm 生殖质
决定性细胞分化的卵质成分。"
"germplasm","germplasm 种质[经生殖细胞传递的遗传物质]；生殖质[决定性细胞分化的卵质成分]"
"germplasm theory","germplasm theory 种质学说"
"gestagen","gestagen 孕激素"
"ghost","ghost 血影，空（细）胞；菌蜕[例如丧失胞质仅余胞壁空壳的细菌光学显微图像]；假峰"
"ghost band","ghost band 假带，鬼带"
"ghost cell","ghost cell 血影细胞"
"ghost peak","ghost peak 假峰，鬼峰"
"giant colony","giant colony 巨大菌落[可用于观察微生物形态]"
"giant nicelle","giant nicelle 巨胶束"
"gibberellic acid","gibberellic acid 赤霉酸"
"gibberellin","gibberellin 赤霉素"
"Gibbs adsorption equation","Gibbs adsorption equation 吉布斯吸附公式"
"Gibbs free energy","Gibbs free energy 吉布斯自由能"
"Gibbs free energy of activation","Gibbs free energy of activation 活化吉布斯自由能"
"Giemsa band","Giemsa band 吉姆萨带，G带[中期染色体带]"
"Giemsa banding","Giemsa banding 吉姆萨带，G显带"
"Giemsa stain","Giemsa stain 吉姆萨染液"
"Giemsa stain","Giemsa stain 吉姆萨染液"
"gigaseal","gigaseal 吉伽（欧）封口，千兆（欧）封口[见于膜片箝术，在膜片与吸液管间形成]"
"ginsengenin","ginsengenin 人参皂苷配基，人参皂苷元"
"ginsenoside","ginsenoside 人参皂苷"
"glacial acetic acid","glacial acetic acid 冰乙酸，冰醋酸"
"gland","gland 腺体"
"Glasgow Minimum Essential Medium","Glasgow Minimum Essential Medium 格拉斯哥极限必需培养基"
"glass bead culture system","glass bead culture system 玻璃珠培养[系统]"
"GlcNAc","GlcNAc N-乙酰葡糖胺"
"glia","glia （神经）胶质"
"glial fibrillary acidic protein","glial fibrillary acidic protein 胶质细胞原纤维酸性蛋白"
"glial fibrillary acidic protein","glial fibrillary acidic protein 胶质（细胞）原纤维酸性蛋白"
"glial filament acidic protein","glial filament acidic protein 胶质（细胞）纤丝酸性蛋白"
"glial growth factor","glial growth factor 胶质（细胞）生长因子"
"gliding","gliding 滑行，滑移[可指滑行细菌和蓝细菌与固体表面接触时的运动方式，通常很缓慢，并有分泌粘液的轨迹]"
"gliding growth","gliding growth 滑过生长[见于植物]"
"gliotoxin","gliotoxin 胶霉毒素"
"global alignment","global alignment 总体（序列）对比"
"global regulation","global regulation 全局调节[例如多个分属不同代谢途径的操纵子受控于同一调节物]"
"global regulation circuit","global regulation circuit 全局调节回路"
"global regulon","global regulon 全局调节子"
"globin","globin 珠蛋白"
"globoside","globoside 红细胞糖苷"
"globular protein","globular protein 球状蛋白质"
"globulin","globulin 球蛋白"
"glomerulus","glomerulus 小球"
"glucagon","glucagon 胰高血糖素"
"glucan","glucan 葡聚糖"
"glucanase","glucanase 葡聚糖酶"
"glucoamylase","glucoamylase 葡糖淀粉酶"
"glucocerebrosidase","glucocerebrosidase 葡糖脑苷脂酶"
"glucocerebroside","glucocerebroside 葡糖脑苷脂"
"glucocorticoid","glucocorticoid 糖皮质（激）素"
"glucocorticosteroid","glucocorticosteroid 糖皮质类固醇"
"glucogenesis","glucogenesis 糖生成（作用）"
"glucogenic amino acid","glucogenic amino acid 生糖氨基酸"
"glucokinase","glucokinase 葡糖激酶"
"glucomannan","glucomannan 葡甘露聚糖"
"gluconeogenesis","gluconeogenesis 糖异生（作用）"
"gluconic acid","gluconic acid 葡糖酸"
"gluconolactone","gluconolactone 葡糖酸内酯"
"glucosamine","glucosamine 葡糖胺，氨基葡糖"
"glucosaminoglycan","glucosaminoglycan 葡糖胺聚糖"
"glucosan","glucosan 葡聚糖"
"glucose","glucose 葡萄糖[简称或在复合词中可用葡糖]"
"glucosidase","glucosidase 葡糖苷酶"
"glucoside","glucoside 葡糖苷"
"glucosylation","glucosylation 葡糖基化"
"glucosylceramidase","glucosylceramidase 葡糖神经酰胺酶"
"glucosylceramide","glucosylceramide 葡糖神经酰胺"
"glucoxyltransferase","glucoxyltransferase 葡糖基转移酶"
"glucurnic acid","glucurnic acid 葡糖醛酸"
"glucuronidase","glucuronidase 葡糖醛酸酶"
"glucuronolactone","glucuronolactone 葡糖醛酸内酯"
"glucuronyl","glucuronyl 葡糖醛酸基"
"glutaconate","glutaconate 戊烯二酸；戊烯二酸根、酯、盐"
"glutaconic acid","glutaconic acid 戊烯二酸"
"glutamate","glutamate 谷氨酸；谷氨酸盐、酯、根"
"glutamic acid","glutamic acid 谷氨酸"
"glutamic semialdehyde","glutamic semialdehyde 谷氨酸半醛"
"glutaminase","glutaminase 谷氨酰胺酶"
"glutamine","glutamine 谷氨酰胺"
"glutaraldehyde","glutaraldehyde 戊二醛"
"glutaredoxin","glutaredoxin 谷氧还蛋白"
"glutathion","glutathion 谷胱甘肽"
"glutathion peroxidase","glutathion peroxidase 谷胱甘肽过氧化物酶"
"glutelin","glutelin 谷蛋白"
"glutenin","glutenin 麦谷蛋白"
"glycan","glycan 聚糖"
"glycation","glycation 糖化，加糖（作用）"
"glyCEOllin","glyCEOllin 大豆抗毒素"
"glyceraldehyde","glyceraldehyde 甘油醛"
"glyceride","glyceride 甘油酯"
"glycerol facilitator","glycerol facilitator 甘油易化蛋白[见于细菌，与甘油的转运有关]"
"glycerol shock","glycerol shock 甘油休克"
"glycinamide","glycinamide 甘氨酰胺"
"glycinergic synapse","glycinergic synapse 甘氨酸能突触"
"glycinin","glycinin 大豆球蛋白"
"glycobiology","glycobiology 糖生物学"
"glycocalyx","glycocalyx 糖萼
又称“多糖包被”。"
"glycocalyx","glycocalyx 糖萼，多糖包被[如见于细菌细胞壁外]"
"glycocholic acid","glycocholic acid 甘氨胆酸"
"glycoconjugate","glycoconjugate 糖缀合物，缀合糖，复合糖"
"glycogen","glycogen 糖原"
"glycogenesis","glycogenesis 糖原生成"
"glycogenolysis","glycogenolysis 糖原分解"
"glycoglyceride","glycoglyceride 糖基甘油酯"
"glycolipid","glycolipid 糖脂"
"glycolysis","glycolysis 糖酵解"
"glycopeptidase","glycopeptidase 糖肽酶"
"glycopeptide","glycopeptide 糖肽"
"glycophorin","glycophorin 血型糖蛋白"
"glycophorin","glycophorin 血型糖蛋白"
"glycoprotein","glycoprotein 糖蛋白"
"glycosaminoglycan","glycosaminoglycan 糖胺聚糖"
"glycosidase","glycosidase 糖苷酶"
"glycoside","glycoside （糖）苷"
"glycosphingolipid","glycosphingolipid 鞘糖脂"
"glycosyl","glycosyl 糖基"
"glycosylated","glycosylated 糖基化的"
"glycosylation","glycosylation 糖基化"
"glycosylsphingolipid","glycosylsphingolipid 鞘糖脂"
"glycosyltransferase","glycosyltransferase 糖基转移酶"
"glycyrrhizin","glycyrrhizin 甘草皂苷"
"glyoxal","glyoxal 乙二醛"
"glyoxaline","glyoxaline 咪唑"
"glyoxysome","glyoxysome 乙醛酸循环体"
"glyoxysome","glyoxysome 乙醛酸循环体"
"glypiation","glypiation 糖基磷脂酰肌醇化[在蛋白质的近C端加上G-PI锚]"
"glypican","glypican 磷脂酰肌醇（蛋白）聚糖[带有G-PI锚的蛋白聚糖]"
"gnotobiology","gnotobiology 悉生生物学"
"gnotobiote","gnotobiote 悉生生物[在其体内外生存的微生物均属已知]"
"goblet cell","goblet cell 杯状细胞"
"Golgi apparatus","Golgi apparatus 高尔基体"
"Golgi apparatus","Golgi body
Golgi apparatus
Golgi body 高尔基体"
"Golgi body","Golgi body 高尔基体"
"Golgi complex","Golgi complex 高尔基复合体"
"Golgi complex","Golgi complex 高尔基复合体"
"Golgi membrane","Golgi membrane 高尔基体膜"
"Golgi network","Golgi network 高尔基体网络"
"Golgi protease","Golgi protease 高尔基体蛋白酶"
"gonad","gonad 性腺"
"gonadoliberin","gonadoliberin 促性腺素释放素"
"gonadotrophic hormone","gonadotrophic hormone 促性腺激素"
"gonadotrophin","gonadotrophin 促性腺素"
"gonadotropin","gonadotropin 促性腺素[为促滤泡素及促黄体素的统称]"
"gonidium","gonidium 微生子"
"gonium","gonium 性原细胞"
"gonococcus","gonococcus 淋球菌"
"gonocyte","gonocyte 性原细胞"
"gonoplasm","gonoplasm 精原质"
"gossypol","gossypol 棉酚"
"gougerotin","gougerotin 谷氏菌素"
"G-protein","G-protein G 蛋白
又称“GTP 连接蛋白”。"
"Graafian follicle","Graafian follicle 囊状滤泡，格拉夫卵泡"
"gracilicute","gracilicute 薄壁（细）菌[胞壁由薄层肽聚糖和脂多糖构成的细菌（一般为革兰氏阴性）]"
"gradient plate","gradient plate 梯度培养板"
"graft hybrid","graft hybrid 嫁接杂种"
"gramicidin","gramicidin 短杆菌肽"
"Gram stain","Gram stain 革兰氏染液"
"grana","grana （复）基粒"
"grana lamella","grana lamella 基粒片层"
"grana lamella","grana lamellae(复)
grana lamella
grana lamellae(复) 基粒片层"
"granule","granule 颗粒体[杆状病毒的包含体]；粒，颗粒"
"granuliberin","granuliberin 颗粒释放肽[一种蛙皮肽]"
"granulin","granulin 颗粒体蛋白"
"granulocrine","granulocrine 颗粒性分泌"
"granulocrine","granulocrine 颗粒性分泌"
"granulocyte","granulocyte 粒细胞"
"granulocyte chemotactic peptide","granulocyte chemotactic peptide 粒细胞趋化肽[即白细胞介素-8]"
"granulocyte colony stimulating factor","granulocyte colony stimulating factor 粒细胞集落刺激因子"
"granulopoiesis","granulopoiesis 粒细胞生成"
"granulose","granulose 细菌淀粉粒"
"granulosis virus","granulosis virus 颗粒性病毒"
"granum","granum 基粒"
"granum-thylakoid","granum-thylakoid 基粒类囊体"
"granzyme","granzyme 粒酶[由细胞毒性T细胞及大颗粒淋巴细胞通过颗粒胞吞的方式分泌的丝氨酸蛋白酶]"
"gratuitous inducer","gratuitous inducer 义务诱导物，安慰诱导物[能诱导酶的合成但不能作为该酶的底物，如IPTG就是beta半乳糖苷酶的义务诱导物]"
"gray crescent","gray crescent 灰色新月"
"grid","grid 载网"
"grisein","grisein 灰霉素"
"growth factor","GF
growth factor
GF 生长因子"
"GTPase","GTPase GTP酶"
"guanase","guanase 鸟嘌呤酶"
"guanidine hydrochloride","guanidine hydrochloride 盐酸胍"
"guanidinium isothiocyanate","guanidinium isothiocyanate 异硫氰酸胍"
"guanylin","guanylin 鸟苷蛋白[从肠中分离的鸟苷酸环化酶配体]"
"guanylyl","guanylyl 鸟苷酰基"
"guessmer","guessmer 猜测体[用于基因克隆的低简并性寡核苷酸探针，其序列按已知的氨基酸序列推导，但仅采纳据猜测最可能与目前的基因配对的密码子]"
"guest","guest 客体"
"guide RNA","guide RNA 指导RNA[RNA编辑的模板]"
"guide sequence","guide sequence 指导序列[如见于RNA编辑或RNA剪接]"
"gusducin","gusducin 味（转）导素[见于味蕾的一种转导素（G蛋白）]"
"gustin","gustin 味肽，味多肽"
"gut hormone","gut hormone 胃肠激素"
"guttation","guttation 吐水"
"gymnoplast","gymnoplast 裸质体"
"gymnoplast","gymnoplast 裸质体"
"gynandromorph","gynandromorph 雌雄嵌合体"
"gynandromorphism","gynandromorphism 雌雄嵌合体"
"gynoecium","gynoecium 雌蕊群"
"gynogenesis","gynogenesis 雌核发育"
"gynogenesis","gynogenesis 雌核发育，单雌生殖"
"gynomerogony","gynomerogony 雌核卵块发育"
"gynomerogony","gynomerogony 雌核卵块发育"
"gynospore","gynospore 雌孢子"
"gynospore","gynospore 雌孢子"
"gynostemium","gynostemium 合蕊柱"
"gynotermone","gynotermone 雌性决定素gyplure类舞毒蛾醇"
